,specific_pos,Cap%,Player,Salary
2,"LW, RW",7.2, Jake Guentzel,6000000.0
3,"RW, LW",6.1, Bryan Rust,5125000.0
4,"RW, LW",6.0, Rickard Rakell,5000000.0
5,"LW, RW",6.0, Reilly Smith,5000000.0
6,"RW, C",3.7, Jeff Carter,3125000.0
7,C,2.9, Lars Eller,2450000.0
8,"C, RW",2.4, Noel Acciari,2000000.0
9,LW,1.1, Drew O'Connor,925000.0
10,LW,1.0, Jansen Harkins,850000.0
11,"RW, LW",0.9, Valtteri Puustinen,775000.0
12,"RW, C",0.9, Colin White,775000.0
13,RD,12.0, Erik Karlsson,10000000.0
14,RD,7.3, Kris  Letang,6100000.0
15,LD,5.4, Ryan Graves,4500000.0
16,LD,4.8, Marcus Pettersson,4025175.0
17,LD,1.0, Pierre-Olivier Joseph,825000.0
18,RD,1.0, Chad Ruhwedel,800000.0
19,LD,0.9, Ryan Shea,775000.0
20,G,6.4, Tristan Jarry,5375000.0
21,G,1.8, Alex Nedeljkovic,1500000.0
0,LW,11.4, Alex  Ovechkin,9500000.0
1,C,9.3, Evgeny Kuznetsov,7800000.0
2,RW,6.9, T.J.  Oshie,5750000.0
3,"LW, RW",6.8, Anthony Mantha,5700000.0
4,RW,6.2, Tom  Wilson,5166667.0
5,C,6.0, Dylan Strome,5000000.0
6,LW,2.4, Max Pacioretty,2000000.0
7,C,1.6, Nic Dowd,1300000.0
8,RW,1.5, Nicolas Aubé-Kubel,1225000.0
9,C,1.0, Hendrix Lapierre,863333.0
10,"LW, C",1.0, Connor McMichael,863333.0
11,"RW, LW, C",0.9, Aliaksei Protas,789167.0
12,"RW, C",0.9, Matthew Phillips,775000.0
13,"C, LW",0.9, Beck Malenstyn,762500.0
14,RD,9.6, John  Carlson,8000000.0
15,RD,4.9, Nick Jensen,4050000.0
16,RD,3.6, Trevor van Riemsdyk,3000000.0
17,LD/RD,3.2, Martin Fehérváry,2675000.0
18,RD,2.5, Ethan Bear,2062500.0
19,LD/RD,2.1, Joel Edmundson,1750000.0
20,LD/RD,1.0, Alexander Alexeyev,825000.0
21,G,6.3, Darcy Kuemper,5250000.0
22,G,1.3, Charlie Lindgren,1100000.0
0,C,9.3, Sean  Couturier,7750000.0
1,"RW, LW",7.0, Cam Atkinson,5875000.0
2,"RW, LW",6.6, Travis Konecny,5500000.0
3,"LW, RW",6.0, Joel Farabee,5000000.0
4,"LW, C",3.6, Scott  Laughton,3000000.0
5,"C, LW",3.1, Noah Cates,2625000.0
6,"RW, LW",2.8, Garnet Hathaway,2375000.0
7,C,2.5, Morgan Frost,2100000.0
8,"LW, RW",2.1, Nicolas Deslauriers,1750000.0
9,RW,1.8, Owen Tippett,1500000.0
10,"C, LW",1.7, Ryan Poehling,1400000.0
11,RW,1.1, Bobby Brink,925000.0
12,"RW, C",1.0, Tyson Foerster,863333.0
13,LD/RD,7.5, Travis Sanheim,6250000.0
14,RD,6.1, Rasmus Ristolainen,5100000.0
15,LD/RD,3.2, Sean Walker,2650000.0
16,RD,2.8, Jamie Drysdale,2300000.0
17,LD/RD,1.9, Cam York,1600000.0
18,LD,1.3, Marc Staal,1100000.0
19,LD/RD,0.9, Nick Seeler,775000.0
20,LD/RD,0.9, Yegor Zamula,775000.0
21,G,4.8, Carter Hart,3979000.0
22,G,1.0, Samuel Ersson,859167.0
0,LW,13.9, Artemi  Panarin,11642857.0
1,C,10.2, Mika  Zibanejad,8500000.0
2,LW,7.8, Chris  Kreider,6500000.0
3,"C, RW",6.7, Vincent Trocheck,5625000.0
4,"C, LW",4.4, Barclay  Goodrow,3641667.0
5,"LW, RW",2.8, Alexis Lafrenière,2325000.0
6,RW,2.5, Kaapo Kakko,2100000.0
7,LW,1.0, Will Cuylle,828333.0
8,RW,1.0, Blake Wheeler,800000.0
9,"C, LW",1.0, Nick Bonino,800000.0
10,"RW, LW",1.0, Jimmy Vesey,800000.0
11,RW,0.9, Tyler Pitlick,787500.0
12,C,0.9, Jonny Brodzinski,762500.0
13,RD,11.4, Adam Fox,9500000.0
14,RD,9.6, Jacob  Trouba,8000000.0
15,LD,4.6, K'Andre Miller,3872000.0
16,LD,3.6, Ryan Lindgren,3000000.0
17,RD,1.1, Braden Schneider,925000.0
18,LD,1.0, Erik Gustafsson,825000.0
19,LD,1.0, Zachary Jones,812500.0
20,G,6.8, Igor Shesterkin,5666667.0
21,G,1.0, Jonathan Quick,825000.0
0,"C, RW",11.0, Mathew Barzal,9150000.0
1,C,10.2, Bo Horvat,8500000.0
2,LW,8.4, Anders  Lee,7000000.0
3,"C, LW",7.2, Brock Nelson,6000000.0
4,C,6.0, Jean-Gabriel Pageau,5000000.0
5,"RW, LW",6.0, Kyle Palmieri,5000000.0
6,"RW, LW",3.6, Pierre Engvall,3000000.0
7,RW,2.1, Cal  Clutterbuck,1750000.0
8,"LW, RW",1.8, Matt Martin,1500000.0
9,RW,1.0, Oliver Wahlstrom,874125.0
10,RW,1.0, Simon Holmström,863333.0
11,LW,1.0, Kyle MacLean,800000.0
12,RW,0.9, Julien Gauthier,787500.0
13,RW,0.9, Hudson Fasching,775000.0
14,LD,6.9, Adam Pelech,5750000.0
15,RD,4.8, Noah Dobson,4000000.0
16,RD,4.2, Scott Mayfield,3500000.0
17,LD,3.0, Alexander Romanov,2500000.0
18,LD,1.2, Mike Reilly,1000000.0
19,LD,1.0, Sebastian Aho,825000.0
20,LD,1.0, Samuel Bolduc,800000.0
21,G,4.8, Ilya Sorokin,4000000.0
22,G,0.9, Ken Appleby,762500.0
0,"LW, RW",8.6, Clayton Keller,7150000.0
1,"RW, C",7.0, Nick Schmaltz,5850000.0
2,"LW, RW",6.3, Jason Zucker,5300000.0
3,"LW, RW",5.1, Lawson Crouse,4300000.0
4,"LW, C, RW",4.2, Alexander Kerfoot,3500000.0
5,LW,4.1, Matias Maccelli,3425000.0
6,"C, RW",2.5, Nick Bjugstad,2100000.0
7,"C, LW",1.9, Jack McBain,1599999.0
8,C,1.1, Logan Cooley,950000.0
9,RW,1.1, Dylan Guenther,894167.0
10,LW,0.9, Liam O'Brien,775000.0
11,"LW, RW",0.9, Michael Carcone,775000.0
12,RD,4.7, Matt Dumba,3900000.0
13,LD/RD,2.0, Sean Durzi,1700000.0
14,RD,1.5, Joshua Brown,1275000.0
15,RD,1.3, Troy Stecher,1100000.0
16,LD,1.2, Juuso Välimäki,1000000.0
17,RD,1.1, Michael Kesselring,925000.0
18,LD/RD,1.1, J.J. Moser,886667.0
19,LD/RD,1.0, Travis Dermott,800000.0
20,G,3.3, Karel Vejmelka,2725000.0
21,G,2.3, Connor Ingram,1950000.0
0,"C, LW",3.2, Jason Dickinson,2650000.0
1,"LW, C, RW",2.7, Philipp Kurashev,2250000.0
2,"LW, C, RW",2.4, Ryan Donato,2000000.0
3,"C, RW",1.4, Colin Blackwell,1200000.0
4,"LW, RW",1.3, Rem Pitlick,1100000.0
5,C,1.1, Cole Guttman,950000.0
6,"LW, C",1.1, Lukas Reichel,925000.0
7,"LW, C",1.0, Mackenzie Entwistle,800000.0
8,"RW, C",1.0, Reese Johnson,800000.0
9,RW,1.0, Joey Anderson,800000.0
10,"LW, RW",1.0, Zachary Sanford,800000.0
11,LW,0.9, Boris Katchouk,758333.0
12,RW,0.9, Taylor Raddysh,758333.0
13,RD,11.4, Seth  Jones,9500000.0
14,RD,5.3, Connor  Murphy,4400000.0
15,LD,1.5, Jarred Tinordi,1250000.0
16,LD,1.1, Kevin Korchinski,918333.0
17,LD,1.1, Alex Vlasic,916667.0
18,LD,1.0, Isaak Phillips,859167.0
19,RD,1.0, Louis Crevier,850833.0
20,LD,0.9, Jaycob Megna,762500.0
21,G,4.6, Petr Mrázek,3800000.0
22,G,1.2, Arvid Söderblom,962500.0
0,C,15.1, Nathan  MacKinnon,12600000.0
1,"RW, C",11.1, Mikko Rantanen,9250000.0
2,"C, RW",4.8, Ryan Johansen,4000000.0
3,"C, LW",4.8, Ross Colton,4000000.0
4,LW,3.0, Miles Wood,2500000.0
5,"RW, LW",1.3, Logan O'Connor,1050000.0
6,RW,1.0, Jason Polin,870000.0
7,LW,1.0, Andrew Cogliano,825000.0
8,"LW, RW",1.0, Jonathan Drouin,825000.0
9,"RW, LW",0.9, Joel Kiviranta,775000.0
10,"C, LW",0.9, Fredrik Olofsson,775000.0
11,RD,10.8, Cale Makar,9000000.0
12,LD/RD,6.0, Samuel Girard,5000000.0
13,RD,5.4, Josh Manson,4500000.0
14,LD,4.9, Devon Toews,4100000.0
15,"LD/RD, LW",1.2, Kurtis MacDermid,987500.0
16,RD,1.0, Sam Malinski,850000.0
17,LD,0.9, Jack Johnson,775000.0
18,LD/RD,0.9, Caleb Jones,775000.0
19,G,4.1, Alexandar Georgiev,3400000.0
20,G,0.9, Justus Annunen,775000.0
21,G,0.9, Ivan Prosvetov,775000.0
0,"C, RW",11.8, Tyler  Seguin,9850000.0
1,"LW, C",11.4, Jamie  Benn,9500000.0
2,C,10.1, Roope Hintz,8450000.0
3,"LW, RW",9.3, Jason Robertson,7750000.0
4,"LW, RW",5.4, Mason Marchment,4500000.0
5,RW,4.2, Joe Pavelski,3500000.0
6,"C, LW",3.9, Radek Faksa,3250000.0
7,"RW, C",3.6, Matt Duchene,3000000.0
8,"RW, LW",2.7, Evgeni Dadonov,2250000.0
9,RW,1.2, Craig Smith,1000000.0
10,RW,1.1, Ty Dellandrea,900000.0
11,C,1.1, Wyatt Johnston,894167.0
12,"C, LW",1.0, Sam Steel,850000.0
13,LD/RD,10.1, Miro Heiskanen,8450000.0
14,LD,6.9, Esa Lindell,5800000.0
15,LD,4.4, Ryan Suter,3650000.0
16,RD,1.8, Jani Hakanpää,1500000.0
17,RD,1.1, Nils Lundkvist,925000.0
18,LD,1.0, Thomas Harley,863333.0
19,LD/RD,0.9, Joel Hanley,787500.0
20,G,4.8, Jake Oettinger,4000000.0
21,G,1.2, Scott Wedgewood,1000000.0
0,LW,10.8, Kirill  Kaprizov,9000000.0
1,"RW, LW",8.4, Matthew Boldy,7000000.0
2,"RW, LW",7.2, Mats Zuccarello,6000000.0
3,C,6.3, Joel Eriksson Ek,5250000.0
4,"RW, LW",3.7, Marcus  Foligno,3100000.0
5,"C, LW",2.5, Frédérick Gaudreau,2100000.0
6,"LW, RW",2.4, Marcus Johansson,2000000.0
7,"C, RW",2.0, Ryan Hartman,1700000.0
8,"RW, LW",1.3, Brandon Duhaime,1100000.0
9,C,1.0, Marco Rossi,863333.0
10,"LW, RW",1.0, Adam Raska,848333.0
11,"LW, C",1.0, Connor Dewar,800000.0
12,"LW, RW",1.0, Patrick Maroon,800000.0
13,LD,7.2, Jonas Brodin,6000000.0
14,LD,2.9, Jake Middleton,2450000.0
15,LD/RD,2.4, Alex Goligoski,2000000.0
16,LD,1.4, Jon Merrill,1200000.0
17,RD,1.1, Brock Faber,925000.0
18,RD,1.0, Zach Bogosian,850000.0
19,LD,1.0, Daemon Hunt,828333.0
20,LD/RD,0.9, Dakota Mermis,775000.0
21,G,4.5, Filip Gustavsson,3750000.0
22,G,4.2, Marc-André Fleury,3500000.0
0,LW,10.2, Filip Forsberg,8500000.0
1,C,5.4, Ryan  O'Reilly,4500000.0
2,"LW, RW",3.8, Gustav Nyquist,3185000.0
3,"C, RW",3.4, Colton Sissons,2857143.0
4,C,3.0, Cody Glass,2500000.0
5,"LW, C",2.0, Yakov Trenin,1700000.0
6,"LW, RW",1.0, Philip Tomasino,863333.0
7,C,1.0, Juuso Pärssinen,850833.0
8,"RW, LW",1.0, Denis Gurianov,850000.0
9,C,1.0, Thomas Novak,800000.0
10,RW,1.0, Luke Evangelista,797500.0
11,"RW, C",0.9, Michael McCarron,775000.0
12,"LW, RW",0.9, Kiefer Sherwood,775000.0
13,"RW, LW",0.9, Cole Smith,775000.0
14,LD,10.8, Roman  Josi,9059000.0
15,LD,8.1, Ryan  McDonagh,6750000.0
16,RD,5.4, Tyson Barrie,4500000.0
17,RD,3.3, Luke Schenn,2750000.0
18,RD,3.0, Alexandre Carrier,2500000.0
19,RD,3.0, Dante Fabbro,2500000.0
20,LD/RD,2.4, Jérémy Lauzon,2000000.0
21,G,6.0, Juuse Saros,5000000.0
22,G,2.4, Kevin Lankinen,2000000.0
0,RW,9.7, Jordan Kyrou,8125000.0
1,"C, RW",9.7, Robert  Thomas,8125000.0
2,"C, LW",7.8, Brayden  Schenn,6500000.0
3,"LW, RW, C",6.9, Pavel Buchnevich,5800000.0
4,"LW, RW",5.4, Brandon Saad,4500000.0
5,C,4.3, Kevin Hayes,3571429.0
6,"LW, RW",1.5, Alexey Toropchenko,1250000.0
7,"LW, RW",1.2, Samuel Blais,1000000.0
8,LW,1.0, Jake Neighbours,835833.0
9,C,1.0, Nikita Alexandrov,816667.0
10,"C, RW",0.9, Adam Gaudette,775000.0
11,"RW, C",0.9, Oskar Sundqvist,775000.0
12,LW,0.9, Nathan Walker,775000.0
13,RD,7.8, Justin  Faulk,6500000.0
14,LD,7.8, Torey Krug,6500000.0
15,RD,7.8, Colton  Parayko,6500000.0
16,LD,4.8, Nick Leddy,4000000.0
17,LD,3.9, Marco Scandella,3275000.0
18,RD,1.1, Matthew Kessel,883750.0
19,LD/RD,1.0, Tyler Tucker,800000.0
20,LD,0.9, Scott Perunovich,775000.0
21,G,7.2, Jordan Binnington,6000000.0
22,G,0.9, Joel Hofer,775000.0
0,LW,8.6, Kyle Connor,7142857.0
1,"RW, LW",7.2, Nikolaj Ehlers,6000000.0
2,LW,4.8, Alex Iafallo,4000000.0
3,"LW, RW",4.8, Nino Niederreiter,4000000.0
4,"RW, C",4.1, Gabriel Vilardi,3437500.0
5,C,3.9, Adam  Lowry,3250000.0
6,RW,2.6, Mason Appleton,2166667.0
7,"LW, RW, C",2.4, Vladislav Namestnikov,2000000.0
8,"LW, C, RW",1.6, Morgan Barron,1350000.0
9,"C, LW, RW",1.2, Rasmus Kupari,1000000.0
10,"LW, C",1.1, Cole Perfetti,894167.0
11,LW,0.9, Axel Jonsson-Fjällby,775000.0
12,"C, LW",0.9, Dominic Toninato,775000.0
13,LD,7.5, Joshua  Morrissey,6250000.0
14,LD/RD,7.1, Nate Schmidt,5950000.0
15,RD,7.0, Neal Pionk,5875000.0
16,LD,4.7, Brenden Dillon,3900000.0
17,RD,3.6, Dylan DeMelo,3000000.0
18,LD,1.7, Dylan Samberg,1400000.0
19,LD,1.2, Logan Stanley,1000000.0
20,LD/RD,0.9, Declan Chisholm,775000.0
21,G,7.4, Connor Hellebuyck,6166667.0
22,G,2.1, Laurent Brossoit,1750000.0
0,RW,8.4, Troy Terry,7000000.0
1,"RW, LW",7.5, Alex Killorn,6250000.0
2,"LW, C",7.0, Adam Henrique,5825000.0
3,"RW, LW",6.3, Jakob  Silfverberg,5250000.0
4,"RW, C",6.0, Ryan Strome,5000000.0
5,"LW, RW",4.4, Frank Vatrano,3650000.0
6,"LW, RW",3.3, Brock McGinn,2750000.0
7,"C, LW",2.2, Isac Lundeström,1800000.0
8,LW,1.3, Ross Johnston,1100000.0
9,C,1.1, Leo Carlsson,950000.0
10,"C, LW",1.1, Mason McTavish,894167.0
11,"C, RW",1.0, Sam Carrick,850000.0
12,RW,0.9, Brett Leason,775000.0
13,C,0.9, Benoit-Olivier Groulx,775000.0
14,LD/RD,7.8, Cam Fowler,6500000.0
